epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,4178.98,1.10598,1.06641,0.99203,0.74812,0.66355,0.80328,0.44552,1.77277,1.43484,1.41338,0.000110406,0.000110406,0.000110406
155,4199.23,0.97022,0.99169,0.9719,0.74812,0.66355,0.80328,0.44552,1.77277,1.43484,1.41338,0.000108154,0.000108154,0.000108154
156,4219.43,1.01419,1.04046,0.9933,0.76323,0.66444,0.8041,0.45512,1.77564,1.42534,1.41674,0.000105901,0.000105901,0.000105901
157,4239.39,1.0508,1.0398,1.00424,0.76323,0.66444,0.8041,0.45512,1.77564,1.42534,1.41674,0.000103649,0.000103649,0.000103649
158,4259.97,0.94423,0.9746,0.96913,0.69513,0.72246,0.79879,0.44565,1.75452,1.40319,1.41486,0.000101397,0.000101397,0.000101397
159,4280.47,1.03477,1.03908,0.9869,0.69513,0.72246,0.79879,0.44565,1.75452,1.40319,1.41486,9.91445e-05,9.91445e-05,9.91445e-05
160,4301.05,1.06531,1.0946,0.98156,0.7045,0.75474,0.79659,0.44549,1.73236,1.40252,1.40552,9.68922e-05,9.68922e-05,9.68922e-05
161,4321.65,0.97543,0.99526,0.97015,0.7045,0.75474,0.79659,0.44549,1.73236,1.40252,1.40552,9.464e-05,9.464e-05,9.464e-05
162,4342.34,1.02864,1.09182,0.97524,0.74974,0.73772,0.80703,0.44413,1.72467,1.41719,1.40287,9.23877e-05,9.23877e-05,9.23877e-05
163,4362.28,0.96716,0.95953,0.98061,0.74974,0.73772,0.80703,0.44413,1.72467,1.41719,1.40287,9.01355e-05,9.01355e-05,9.01355e-05
164,4383.41,1.0154,1.051,0.97011,0.74717,0.73679,0.8087,0.43957,1.73833,1.43697,1.40402,8.78833e-05,8.78833e-05,8.78833e-05
165,4403.68,0.98281,0.96436,0.96364,0.74717,0.73679,0.8087,0.43957,1.73833,1.43697,1.40402,8.5631e-05,8.5631e-05,8.5631e-05
